1;Befolkningen ultimo forrige år
14;Befolkningen ultimo indeværende år
13;Befolkningstilvækst
3;Døde
5;Fraflyttede
8;Indvandrede før indeværende  år
6;Indvandrede i alt
7;Indvandrede i indeværende år
12;Korrektioner
2;Levendefødte
4;Tilflyttede
11;Udvandret før indeværende år
9;Udvandret i alt
10;Udvandret i indeværende år
